harmonic_index,expected_frequency_hz,dft_bin_frequency_hz,expected_amplitude,measured_amplitude,absolute_error
1,1.0,1.0,1.2732395447351628,1.2732395447351628,0.0
3,3.0,3.0,0.4244131815783876,0.4244131815783876,0.0
5,5.0,5.0,0.25464790894703254,0.2546479089470326,5.551115123125783e-17
7,7.0,7.0,0.18189136353359467,0.18189136353359478,1.1102230246251565e-16
9,9.0,9.0,0.1414710605261292,0.14147106052612912,8.326672684688674e-17
11,11.0,11.0,0.11574904952137845,0.11574904952137852,6.938893903907228e-17
13,13.0,13.0,0.09794150344116635,0.0979415034411664,4.163336342344337e-17
15,15.0,15.0,0.08488263631567752,0.0848826363156776,8.326672684688674e-17
17,17.0,17.0,0.07489644380795074,0.07489644380795082,8.326672684688674e-17
19,19.0,19.0,0.06701260761764015,0.06701260761764016,1.3877787807814457e-17
21,21.0,21.0,0.06063045451119822,0.06063045451119822,0.0
23,23.0,23.0,0.055358241075441864,0.055358241075441794,6.938893903907228e-17
25,25.0,25.0,0.05092958178940651,0.05092958178940648,2.7755575615628914e-17
27,27.0,27.0,0.0471570201753764,0.047157020175376374,2.7755575615628914e-17
29,29.0,29.0,0.043904811887419404,0.043904811887419536,1.3183898417423734e-16
31,31.0,31.0,0.04107224337855364,0.0410722433785536,4.163336342344337e-17
33,33.0,33.0,0.038583016507126144,0.038583016507125964,1.8041124150158794e-16
35,35.0,35.0,0.03637827270671894,0.036378272706718895,4.163336342344337e-17
37,37.0,37.0,0.03441187958743683,0.03441187958743684,1.3877787807814457e-17
39,39.0,39.0,0.03264716781372212,0.03264716781372207,5.551115123125783e-17
41,41.0,41.0,0.031054623042321046,0.03105462304232106,1.3877787807814457e-17
43,43.0,43.0,0.02961022197058518,0.029610221970585264,8.326672684688674e-17
45,45.0,45.0,0.028294212105225838,0.028294212105225792,4.5102810375396984e-17
47,47.0,47.0,0.027090203079471544,0.027090203079471492,5.204170427930421e-17
49,49.0,49.0,0.02598448050479924,0.025984480504799224,1.734723475976807e-17
51,51.0,51.0,0.024965481269316917,0.024965481269316882,3.469446951953614e-17
53,53.0,53.0,0.024023387636512503,0.024023387636512537,3.469446951953614e-17
55,55.0,55.0,0.023149809904275686,0.023149809904275703,1.734723475976807e-17
57,57.0,57.0,0.022337535872546718,0.022337535872546818,1.0061396160665481e-16
59,59.0,59.0,0.021580331266697676,0.021580331266697665,1.0408340855860843e-17
61,61.0,61.0,0.020872779421887915,0.020872779421888005,9.020562075079397e-17
63,63.0,63.0,0.020210151503732742,0.020210151503732832,9.020562075079397e-17
65,65.0,65.0,0.019588300688233275,0.019588300688233348,7.28583859910259e-17
67,67.0,67.0,0.019003575294554667,0.019003575294554823,1.5612511283791264e-16
69,69.0,69.0,0.018452747025147286,0.018452747025147292,6.938893903907228e-18
71,71.0,71.0,0.017932951334298067,0.0179329513342981,3.122502256758253e-17
73,73.0,73.0,0.01744163759911182,0.017441637599111565,2.5326962749261384e-16
75,75.0,75.0,0.016976527263135505,0.016976527263135588,8.326672684688674e-17
77,77.0,77.0,0.016535578503054062,0.016535578503054232,1.700029006457271e-16
79,79.0,79.0,0.016116956262470415,0.016116956262471192,7.771561172376096e-16
81,81.0,81.0,0.015719006725125467,0.01571900672512542,4.85722573273506e-17
83,83.0,83.0,0.0153402354787369,0.01534023547873702,1.196959198423997e-16
85,85.0,85.0,0.014979288761590149,0.014979288761590409,2.6020852139652106e-16
87,87.0,87.0,0.014634937295806469,0.014634937295806286,1.8214596497756474e-16
89,89.0,89.0,0.014306062300395087,0.014306062300395233,1.457167719820518e-16
91,91.0,91.0,0.013991643348738052,0.01399164334873939,1.3374717999781183e-15
93,93.0,93.0,0.013690747792851213,0.013690747792850648,5.655198531684391e-16
95,95.0,95.0,0.013402521523528029,0.013402521523528228,1.9949319973733282e-16
97,97.0,97.0,0.01312618087355838,0.013126180873558466,8.673617379884035e-17
99,99.0,99.0,0.012861005502375381,0.012861005502375622,2.411265631607762e-16
